f,pips
2020-01-03,3.1999999999992155
2020-01-10,0.8000000000005456
2020-01-15,-2.000000000000034
2020-01-20,-1.1999999999990565
2020-01-24,1.7999999999996361
2020-01-30,3.799999999999238
2020-02-05,-1.8999999999995567
2020-02-10,-2.799999999999591
2020-02-14,0.5999999999995906
2020-02-20,6.5999999999998185
2020-02-25,-12.299999999999477
2020-03-05,2.000000000000591
2020-03-10,-21.100000000000286
2020-03-13,17.200000000000692
2020-03-20,3.799999999999238
2020-03-25,11.900000000000967
2020-03-30,14.400000000000114
2020-04-03,4.699999999999273
2020-04-10,0.20000000000052287
2020-04-15,-3.2000000000000797
2020-04-20,-3.3999999999996136
2020-04-24,1.3000000000000909
2020-04-30,5.2999999999992955
2020-05-05,-5.700000000000648
2020-05-08,4.1999999999997275
2020-05-15,4.399999999999261
2020-05-20,5.000000000000705
2020-05-25,-2.399999999999102
2020-05-29,-0.19999999999996598
2020-06-05,-4.500000000000602
2020-06-10,2.1000000000010686
2020-06-15,1.100000000000557
2020-06-19,-0.6999999999995112
2020-06-25,-5.400000000000636
2020-06-30,-7.799999999999306
2020-07-03,-1.8000000000005003
2020-07-10,0.7000000000000681
2020-07-15,-1.1
2020-07-20,11.899999999999546
2020-07-24,0.7000000000000681
2020-07-30,-0.20000000000138707
2020-08-05,-3.099999999999602
2020-08-10,0.7000000000000681
2020-08-14,-1.4999999999990679
2020-08-20,-5.60000000000017
2020-08-25,-5.099999999999204
2020-08-28,-2.799999999999591
2020-09-04,-3.500000000000091
2020-09-10,0.7000000000000681
2020-09-15,0.5000000000005342
2020-09-18,4.999999999999284
2020-09-25,0.8000000000005456
2020-09-30,4.1999999999997275
2020-10-05,-0.30000000000044347
2020-10-09,1.6000000000001022
2020-10-15,0.899999999999602
2020-10-20,-1.8999999999995567
2020-10-23,-5.800000000001125
2020-10-30,3.799999999999238
2020-11-05,-10.400000000000352
2020-11-10,-0.49999999999997735
2020-11-13,0.40000000000005675
2020-11-20,0.40000000000005675
2020-11-25,-0.9000000000004662
2020-11-30,-1.299999999999534
2020-12-04,-2.1000000000005117
2020-12-10,-0.10000000000090958
2020-12-15,1.3999999999991473
2020-12-18,-5.400000000000636
2020-12-25,-12.999999999999977
2020-12-30,-1.500000000000489
2021-01-05,-2.799999999999591
2021-01-08,-6.200000000000193
2021-01-15,5.899999999999318
2021-01-20,3.6000000000011254
2021-01-25,0.10000000000004539
2021-01-29,-7.899999999999784
2021-02-10,-7.400000000000238
2021-02-15,3.3999999999987494
2021-02-19,-0.5999999999990338
2021-02-25,-3.3999999999996136
2021-03-05,-4.500000000000602
2021-03-10,-6.599999999999261
2021-03-15,-2.3000000000000456
2021-03-19,-1.8999999999995567
2021-03-25,-7.500000000000716
2021-03-30,-0.6000000000004548
2021-04-05,0.899999999999602
2021-04-09,1.4999999999996247
2021-04-15,3.100000000000159
2021-04-20,-2.3000000000000456
2021-04-23,1.0000000000000795
2021-04-30,9.199999999999443
2021-05-05,-1.5999999999995453
2021-05-10,-3.300000000000557
2021-05-14,-2.600000000000057
2021-05-20,4.4000000000006825
2021-05-25,5.600000000000728
2021-05-28,-1.3999999999985904
2021-06-04,6.400000000000285
2021-06-10,4.100000000000671
2021-06-15,0.20000000000052287
2021-06-30,0.30000000000100036
2021-07-05,1.3999999999991473
2021-07-09,4.000000000000194
2021-07-20,-5.400000000000636
2021-07-23,-2.799999999999591
2021-07-30,-5.9000000000001815
2021-08-10,-0.9000000000004662
2021-08-13,2.0999999999996475
2021-08-30,-1.299999999999534
2021-09-03,5.300000000000717
2021-09-15,2.69999999999967
2021-09-20,1.1999999999996134
2021-09-24,0.5000000000005342
2021-09-30,0.29999999999957927
2021-10-05,-8.000000000000261
2021-10-08,-5.300000000000159
2021-10-15,3.700000000000182
2021-10-20,11.4
2021-10-25,-6.800000000000216
2021-10-29,22.200000000000408
2021-11-05,4.50000000000116
2021-11-10,1.099999999999136
2021-11-15,-0.40000000000092095
2021-11-19,1.0000000000000795
2021-11-25,-1.9000000000009778
2021-11-30,1.4999999999996247
2021-12-03,-10.400000000000352
2021-12-10,5.300000000000717
2021-12-15,4.499999999999739
2021-12-20,-3.000000000000546
2021-12-24,5.699999999999784
2021-12-30,-3.500000000000091
2022-01-05,1.1999999999996134
2022-01-10,1.4999999999996247
2022-01-14,7.400000000000796
2022-01-20,6.400000000000285
2022-01-25,2.40000000000108
2022-01-28,-0.8999999999990451
2022-02-04,4.1999999999997275
2022-02-10,4.300000000000205
2022-02-15,4.50000000000116
2022-02-18,-4.8000000000006136
2022-02-25,7.000000000000307
2022-03-04,-1.299999999999534
2022-03-10,0.10000000000004539
2022-03-15,-6.600000000000682
2022-03-18,-6.9999999999997495
2022-03-25,-0.9000000000004662
2022-03-30,10.499999999999966
2022-04-05,-3.699999999999625
2022-04-08,-1.4999999999990679
2022-04-15,-21.100000000000286
2022-04-20,16.399999999998293
2022-04-25,0.49999999999911315
2022-04-29,3.999999999998772
2022-05-05,11.000000000000933
2022-05-10,4.50000000000116
2022-05-13,2.3000000000020235
2022-05-20,3.2000000000006366
2022-05-25,-7.2000000000007045
2022-05-30,-5.799999999999704
2022-06-03,-0.2999999999990224
2022-06-10,9.800000000000887
2022-06-15,-12.999999999999977
2022-06-20,0.20000000000052287
2022-06-24,11.4
2022-06-30,-4.599999999999659
2022-07-05,9.100000000000387
2022-07-08,15.30000000000157
2022-07-15,-4.000000000002478
